sequence_id,prediction,confidence
sco_11380at7157_Anopheles_albimanus,sco11380at7157,1.0
sco_11381at7157_Anopheles_albimanus,sco11381at7157,1.0
sco_11403at7157_Anopheles_albimanus,sco11403at7157,1.0
sco_11414at7157_Anopheles_albimanus,sco11414at7157,1.0
sco_11417at7157_Anopheles_albimanus,sco11417at7157,1.0
sco_11419at7157_Anopheles_albimanus,sco11419at7157,1.0
sco_11421at7157_Anopheles_albimanus,sco11421at7157,1.0
sco_11444at7157_Anopheles_albimanus,sco11444at7157,1.0
sco_1145at7157_Anopheles_albimanus,sco1145at7157,1.0
sco_11470at7157_Anopheles_albimanus,sco11470at7157,1.0
sco_11476at7157_Anopheles_albimanus,sco11476at7157,1.0
sco_11482at7157_Anopheles_albimanus,sco11482at7157,1.0
sco_11484at7157_Anopheles_albimanus,sco11484at7157,1.0
sco_11488at7157_Anopheles_albimanus,sco11488at7157,1.0
sco_11515at7157_Anopheles_albimanus,sco11515at7157,1.0
sco_11531at7157_Anopheles_albimanus,sco11531at7157,1.0
sco_11547at7157_Anopheles_albimanus,sco11547at7157,1.0
sco_11556at7157_Anopheles_albimanus,sco11556at7157,1.0
sco_11557at7157_Anopheles_albimanus,sco11557at7157,1.0
sco_1155at7157_Anopheles_albimanus,sco1155at7157,1.0
sco_11578at7157_Anopheles_albimanus,sco11578at7157,1.0
sco_11582at7157_Anopheles_albimanus,sco11582at7157,1.0
sco_11586at7157_Anopheles_albimanus,sco11586at7157,1.0
sco_11591at7157_Anopheles_albimanus,sco11591at7157,1.0
sco_11594at7157_Anopheles_albimanus,sco11594at7157,1.0
sco_11601at7157_Anopheles_albimanus,sco11601at7157,1.0
sco_11602at7157_Anopheles_albimanus,sco11602at7157,1.0
sco_11609at7157_Anopheles_albimanus,sco11609at7157,1.0
sco_11610at7157_Anopheles_albimanus,sco11610at7157,1.0
sco_1161at7157_Anopheles_albimanus,sco1161at7157,1.0
sco_11621at7157_Anopheles_albimanus,sco11621at7157,1.0
sco_11626at7157_Anopheles_albimanus,sco11626at7157,1.0
sco_11636at7157_Anopheles_albimanus,sco11636at7157,1.0
sco_1163at7157_Anopheles_albimanus,sco1163at7157,1.0
sco_11641at7157_Anopheles_albimanus,sco11641at7157,1.0
sco_11645at7157_Anopheles_albimanus,sco11645at7157,1.0
sco_11647at7157_Anopheles_albimanus,sco11647at7157,1.0
sco_11648at7157_Anopheles_albimanus,sco11648at7157,1.0
sco_1164at7157_Anopheles_albimanus,sco1164at7157,1.0
sco_11651at7157_Anopheles_albimanus,sco11651at7157,1.0
sco_11652at7157_Anopheles_albimanus,sco11652at7157,1.0
sco_11655at7157_Anopheles_albimanus,sco11655at7157,1.0
sco_11664at7157_Anopheles_albimanus,sco11664at7157,1.0
sco_11665at7157_Anopheles_albimanus,sco11665at7157,1.0
sco_1166at7157_Anopheles_albimanus,sco1166at7157,1.0
